,TICID,Camera,CCD,Tmag,RA,Dec,planet,light_curve
16122,341193285,3,4,12.12,119.2145,-59.4828,0,"[array([0.98932469, 0.98671699, 0.9877997 , ..., 0.99672914, 0.99687767,
       0.99669439]), array([1517.36357146, 1517.37537717, 1517.38718288, ..., 1541.97142375,
       1541.98322929, 1541.99572927])]"
19519,425068761,4,4,11.99,82.9556,-69.2207,0,"[array([0.99134666, 0.99793261, 0.99647152, ..., 1.00303102, 1.00155997,
       1.00534451]), array([1517.36335379, 1517.37585378, 1517.38765934, ..., 1541.96963448,
       1541.98144003, 1541.99394002])]"
17268,350768296,4,2,13.17,89.1929,-54.5824,0,"[array([0.98977447, 0.98385966, 0.97359782, ..., 1.00093937, 1.00084746,
       1.0018096 ]), array([1517.36456219, 1517.37983976, 1517.38886741, ..., 1541.97037492,
       1541.9821802 , 1541.9946799 ])]"
19703,447942518,3,1,9.89,135.8651,-45.9973,0,"[array([0.99288535, 0.99326336, 0.99240851, ..., 1.00585282, 1.00649905,
       1.00661659]), array([1517.36633344, 1517.37883375, 1517.3906396 , ..., 1541.97296046,
       1541.984766  , 1541.99726598])]"
19347,415405561,2,4,12.62,130.9445,-19.3894,0,"[array([0.98196417, 0.99994955, 0.98909867, ..., 1.00507188, 1.00363302,
       1.00647473]), array([1517.41555683, 1528.97469768, 1517.43639039, ..., 1541.97439371,
       1541.98619889, 1541.99869849])]"
2668,38679058,4,3,11.99,65.3246,-61.5064,0,"[array([1.0234344 , 1.02315283, 1.02019918, ..., 1.00871634, 1.00944507,
       1.00873983]), array([1517.36939878, 1517.382593  , 1517.39231506, ..., 1541.96901425,
       1541.98081962, 1541.99331943])]"
14725,306741844,4,1,10.2,121.0185,-70.5667,0,"[array([0.99876422, 0.993981  , 0.99455863, ..., 0.99746048, 0.99717742,
       0.99804753]), array([1517.35975846, 1517.37434207, 1517.38337001, ..., 1541.97063934,
       1541.98244505, 1541.99494522])]"
7144,146633770,1,3,11.04,149.8805,-4.5084,0,"[array([1.00252354, 1.00802028, 1.00322402, ..., 0.99063456, 0.99026924,
       0.99185997]), array([1517.37026993, 1517.38277035, 1517.3945763 , ..., 1541.97547327,
       1541.98727867, 1541.99977851])]"
5336,118834667,2,4,10.55,135.0769,-19.7247,0,"[array([0.99194747, 0.99084282, 0.99269474, ..., 1.00366747, 1.00528312,
       1.00495112]), array([1517.3683313 , 1517.38083151, 1517.39263726, ..., 1541.97455196,
       1541.98635722, 1541.9988569 ])]"
15013,308582614,2,4,9.78,134.8543,-15.6622,0,"[array([0.994977  , 0.99406379, 0.99404562, ..., 1.0012598 , 1.00111139,
       1.00124264]), array([1517.37133916, 1517.37967262, 1517.39911736, ..., 1541.97471224,
       1541.98651745, 1541.99901709])]"
5630,130572634,3,3,9.46,105.5984,-43.0939,0,"[array([1.00686932, 1.00757861, 1.00021117, ..., 1.00186253, 1.00119853,
       1.00146461]), array([1517.38827319, 1517.39521757, 1528.40667655, ..., 1541.97181657,
       1541.98362174, 1541.99612133])]"
539,5902886,2,2,12.39,143.8208,-37.003,0,"[array([0.95555246, 0.95911497, 0.95756704, ..., 1.0168364 , 1.0136106 ,
       1.01339078]), array([1517.65457497, 1517.66985327, 1517.67679796, ..., 1541.97382618,
       1541.98563175, 1541.99813175])]"
4753,82898274,3,1,9.72,125.0901,-46.478,0,"[array([1.00736833, 1.00620067, 1.00386   , ..., 1.00935435, 1.00973713,
       1.01044595]), array([1517.36622683, 1517.378727  , 1517.39053271, ..., 1541.97256617,
       1541.98437159, 1541.99687144])]"
6673,142052876,4,4,10.89,97.6941,-76.7173,0,"[array([0.98164427, 0.98443186, 0.98360491, ..., 0.99521458, 0.99450201,
       0.99302572]), array([1517.36171564, 1517.37143799, 1517.38532706, ..., 1541.96975112,
       1541.98155685, 1541.99405703])]"
19502,423321442,2,3,9.24,140.9369,-21.6603,0,"[array([0.99675792, 0.99745154, 0.9968372 , ..., 0.99943429, 0.99920696,
       0.99922121]), array([1517.36819166, 1517.38069199, 1517.39319231, ..., 1541.97466184,
       1541.98646722, 1541.99896703])]"
7036,145459420,2,1,15.68,122.5817,-30.7663,0,"[array([1.41303718, 0.92396361, 1.03866363, ..., 1.37141848, 1.2994957 ,
       1.14299369]), array([1517.36955356, 1517.37997027, 1517.39385921, ..., 1541.97343423,
       1541.98523942, 1541.99773902])]"
15570,332510406,2,4,8.08,136.3627,-17.8798,0,"[array([1.00169647, 1.00201917, 1.00156379, ..., 1.00185919, 1.00155592,
       1.00178313]), array([1517.36843865, 1517.38093888, 1517.39274465, ..., 1541.97468084,
       1541.9864861 , 1541.99898579])]"
6327,141333677,4,4,11.96,83.7414,-77.4346,0,"[array([0.98837805, 0.98136556, 0.98657024, ..., 0.98269546, 0.98256433,
       0.98280925]), array([1517.36284273, 1517.37534285, 1517.38714852, ..., 1541.96943594,
       1541.98124166, 1541.99374183])]"
19439,419150791,3,2,12.12,120.8647,-35.744,0,"[array([1.0057435 , 1.00460935, 1.00379467, ..., 1.0180757 , 1.02181673,
       1.01779485]), array([1517.36705194, 1517.37955199, 1517.39135759, ..., 1541.97305986,
       1541.98486508, 1541.99736473])]"
2372,37575651,2,2,8.27,135.3405,-28.3246,1,"[array([0.99517101, 0.99583751, 0.99500835, ..., 1.00166345, 1.00085914,
       1.00115418]), array([1517.3691578 , 1517.37818576, 1517.39346385, ..., 1541.97412827,
       1541.98593361, 1541.99843339])]"
1716,29209674,3,1,10.66,132.8356,-42.3466,0,"[array([0.98127592, 0.97952521, 0.97794724, ..., 1.00439322, 1.00409198,
       1.00421524]), array([1517.36664776, 1517.37914802, 1517.39095382, ..., 1541.97313565,
       1541.98494111, 1541.99744101])]"
8356,167303382,4,1,7.48,97.9856,-68.7123,1,"[array([0.9969027 , 0.99748814, 0.99734747, ..., 0.99992895, 0.99999416,
       0.99998647]), array([1517.36236597, 1517.37347715, 1517.38667167, ..., 1541.97015163,
       1541.98195721, 1541.99445723])]"
11048,242080083,1,2,4.71,139.888,-15.8363,0,"[array([1.00539184, 1.005409  , 1.00545263, ..., 0.99762243, 0.99753004,
       0.99770612]), array([1517.36852016, 1517.38102045, 1517.39282627, ..., 1541.97486942,
       1541.98667473, 1541.99917446])]"
13522,286250232,3,4,9.05,124.0793,-51.9416,0,"[array([0.9994089 , 0.99873686, 0.99729145, ..., 0.99906504, 0.99901807,
       0.99851006]), array([1517.3657239 , 1517.37822408, 1517.3900298 , ..., 1541.97214028,
       1541.98394575, 1541.99644567])]"
11135,255640745,3,3,10.37,98.3135,-51.221,0,"[array([0.98333973, 0.9837262 , 0.98362952, ..., 1.00217664, 1.00106311,
       1.0032922 ]), array([1517.36515636, 1517.37765623, 1517.38946167, ..., 1541.97100515,
       1541.98281041, 1541.99531009])]"
12944,279053964,4,2,9.97,102.374,-59.7386,0,"[array([0.99841583, 0.99670374, 0.99682617, ..., 1.00593281, 1.00626481,
       1.00670481]), array([1517.36460194, 1517.37710195, 1517.38890752, ..., 1541.97077925,
       1541.98258468, 1541.99508455])]"
2152,33222793,1,3,8.63,148.901,-6.0237,0,"[array([1.00438714, 1.00400269, 1.00435543, ..., 0.99646926, 0.99699289,
       0.99690527]), array([1517.36884647, 1517.38134688, 1517.39315282, ..., 1541.97541999,
       1541.98722539, 1541.99972522])]"
15299,311965959,1,4,9.82,138.6074,8.4853,0,"[array([1.00435555, 1.00104547, 1.00101399, ..., 0.99008679, 0.98928058,
       0.98952663]), array([1517.36937466, 1517.38187479, 1517.39368048, ..., 1541.97533031,
       1541.98713541, 1541.99963492])]"
3059,46825557,1,2,8.56,142.1614,-6.1658,0,"[array([0.99314845, 0.99202144, 0.99177563, ..., 1.00296426, 1.00266707,
       1.00258589]), array([1517.36547841, 1517.37936761, 1517.38978452, ..., 1541.97525453,
       1541.9870598 , 1541.99955949])]"
12980,279092536,4,2,9.88,102.8268,-56.8805,0,"[array([1.00021136, 0.99907249, 0.99740076, ..., 0.99979079, 0.99984699,
       1.00033355]), array([1517.36346393, 1517.37596391, 1517.39054722, ..., 1541.97095273,
       1541.98275812, 1541.99525794])]"
108,1033135,2,4,4.26,130.4306,-15.9439,0,"[array([1.00052249, 1.00059068, 1.00069427, ..., 0.99816215, 0.99819094,
       0.99828386]), array([1517.36852487, 1517.38102498, 1517.39283064, ..., 1541.97450998,
       1541.98631512, 1541.99881468])]"
