,ID,b,t_max,tau,umin,Amax,Dmag,fbl,I_bl,I0,start_day,t_max_new,n,m,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,T_25
10,2008-0011,0,2455956.226,31.43,1.077,1.291,0.278,1.0,16.671,16.671,2455260.75,665,608,801,0.005276023922358782,-0.0013898233333866665,-0.007061396893986756,0.002615451477228465,0.0021449925814875947,-0.0015438643928470475,-0.0006235075907705138,0.00035366336387121115,0.0002933424714682867,-7.133140406174191e-05,-9.921056835906212e-05,1.4545623915818666e-05,4.961440459660775e-05,1.1356401081041952e-05,6.512633694992591e-06,1.851645402628815e-05,1.2891570104967575e-05,1.2443403187638656e-06,-1.830096937993353e-06,-1.1264152653970562e-05,-2.317599423879444e-05,-1.7880786576291254e-05,1.5135978557375384e-05,3.075960434184204e-05,2.3771064401051457e-05,-8.359964052652565e-06
11,2008-0012,0,2456029.784,77.442,0.952,1.378,0.348,1.0,14.924,14.924,2455260.75,760,486,981,0.006079500001441074,0.001715692623991618,-0.008041338751361244,-0.0024424273225822335,0.0038353680541237394,0.002032156403206016,-0.0015005190918658266,-0.001118440988656302,0.00028613218152573116,0.0007399280050774333,4.637974500312134e-05,-0.0003872453914089883,-0.00017202100831868402,0.0002725499395665163,-3.1643466795997793e-06,-9.534787960970347e-05,0.0001320427576406214,-5.236212816431014e-05,-2.2004304088792414e-05,5.3087560371397046e-05,-9.586957683381315e-06,-0.00011803346100903229,7.529395694281172e-05,8.13666074599915e-06,-0.00011182346090664479,-2.3805211560162435e-05
12,2008-0013,0,2455941.839,22.343,1.478,1.138,0.141,1.0,15.775,15.775,2455260.75,661,604,776,0.0030706881719989596,-0.0011220420909427813,-0.0038695539309146834,0.0018749914587960956,0.0008953367888829183,-0.000873973909202037,-0.0003025207421942678,0.00016260089995620154,0.00022662338481422605,-7.799357645340408e-05,-8.171274793330292e-05,2.6847893652230418e-05,0.00010744423019424814,2.345183091407947e-05,-6.009999607448127e-05,-4.712345962255623e-05,1.553151226302898e-05,4.161540840849929e-05,9.05684496623927e-06,-1.9227120111820576e-05,-1.7626860455682417e-05,1.0245668128942652e-06,5.306538132647394e-06,3.7559900586962923e-06,1.7092146485546546e-06,8.027211343027649e-06
13,2008-0014,0,2455974.51,26.08,0.545,2.034,0.771,0.696,16.477,16.871,2455260.75,671,647,804,0.007055963664445602,-0.002052781718335852,-0.010793661231838173,0.004383313500332926,0.005287865726334182,-0.0039059003966043205,-0.0022526664852797096,0.002592675098987687,0.000907864241077925,-0.0016632368798070293,-0.00026577396607815803,0.0010675660448889884,2.5222571568521262e-05,-0.0006577923147646938,0.00010746697575753581,0.0004101600284440496,-0.00011718188361130922,-0.00025307984881718865,9.132034176200028e-05,0.00013555087600384627,-6.916304520155597e-05,-7.74461914302496e-05,4.119240149610686e-05,4.191941672676361e-05,-2.1043623372557083e-05,-2.6841168835469408e-05
14,2008-0015,0,2455954.95,8.708,0.457,2.356,0.931,1.0,17.021,17.021,2455260.75,657,608,735,0.014950756205214058,-0.0008886247790841235,-0.0225678573538472,0.0006745637093316723,0.00966394685513125,0.0015277819076122076,-0.0020128880338720354,-0.0020080851220991413,-0.0006453377197845602,0.0005394006795963174,0.0008039902208896972,0.000416958474768564,-9.080385779423906e-05,-0.00031537088112563983,-0.0002214228895551774,-1.3768348608349784e-05,0.00011617365505703555,0.00010197878223694506,1.870359705905549e-05,-4.3354160784190004e-05,-4.331736295609039e-05,-6.648151058870635e-06,2.305865338924907e-05,2.358594637056993e-05,8.449537802460612e-06,-8.233912412620617e-06
15,2008-0016,0,2455964.293,52.941,0.175,5.785,1.906,0.767,19.039,19.326,2455260.75,655,606,800,0.02618261614668486,-0.007346158749675045,-0.03533465023831389,0.01247453534825073,0.01183928796501927,-0.006353489160743891,-0.004993963017091466,0.001533732593577796,0.0031008293643273485,-0.000576264634454966,-0.0018636999321258836,-1.8239393456360516e-05,0.001448476865483361,0.00034961429011401126,-0.0007747892082804569,-0.00028192566954116555,0.0005650271103323628,0.0002694516712007719,-0.0004236742884287957,-0.00032781507779243316,0.00020279476041219896,0.00022757921681143466,-8.038776605783404e-05,-6.131759675070344e-05,0.00023025009817625685,0.00021460742349693618
16,2008-0017,0,2455950.1,11.156,0.0,4301.7,9.084,1.0,17.418,17.418,2455260.75,657,608,723,0.012511893320234863,0.0020176020468836552,-0.01703678349044091,-0.0037240586299835563,0.004340506620092685,0.0021305512405549987,0.0005937821617424175,-0.0002160274777721258,-0.0004332606490934521,-0.0003159890729803372,-9.233780818216223e-05,6.599418549443147e-05,0.00012070555642545477,8.139921750336707e-05,2.1013116989803e-05,-2.92396960036588e-05,-3.697561711505773e-05,-2.4762265965960963e-05,-1.4424110725254676e-07,1.1450846651456702e-05,1.4061063096885914e-05,6.444887081643893e-06,2.294490336794431e-08,-3.22630658378381e-06,-2.552768777260295e-06,-2.266880286305621e-07
17,2008-0018,0,2455959.461,14.648,0.836,1.49,0.433,1.0,18.318,18.318,2455260.75,658,607,740,0.01189299057701589,0.00021129048817182536,-0.0160957132601012,-0.0006035437339732029,0.004664181077903216,0.0010631493323785843,-0.00045024312794857195,-0.0008968663493659814,-0.0003615070414644898,6.39535577103922e-05,0.00032728830105899524,0.00021797138956107347,4.2890312527052446e-05,-7.7123905125492e-05,-6.640171876860317e-05,5.324248479191141e-06,4.608008127529885e-05,2.7165046450441904e-05,-1.8636852229043767e-05,-4.284844642703952e-05,-2.1591525007246922e-05,1.648792624770978e-05,4.079431185689183e-05,3.097883654028562e-05,7.115788678830906e-06,-1.5950856182430293e-05
18,2008-0019,0,2455972.583,18.747,0.517,2.124,0.818,1.0,18.982,18.982,2455260.75,635,683,748,0.012880136070177541,-0.001968573502965276,-0.01784576979238654,0.0034861716452316872,0.005915415724457073,-0.0021308712842740794,-0.0015042891887395472,0.0010128290550679012,0.000668479014933232,-0.0005041964133819881,-0.00012840592909973026,8.30631660228072e-05,5.034962760008849e-05,-4.075728043548508e-05,4.397880909035447e-06,4.110418010874881e-06,-3.861982773677717e-06,2.6930021913184844e-05,-1.130468198634789e-05,4.527249729635103e-06,-1.4107817007736598e-05,1.902504763494273e-05,-8.016431195113172e-06,3.038307612528654e-06,-2.9765960937252844e-06,4.665837889559741e-06
19,2008-0020,0,2455940.142,105.823,0.0,42423.4,11.569,1.0,19.053,19.053,2455260.75,654,460,848,0.02226946841824144,0.005107639201200928,-0.02986171777299818,-0.01036898016083965,0.013485789975669538,0.009576656183591612,-0.006946881129953326,-0.007577550904650061,0.0009698277372509049,0.005646704169196806,-0.0002570320042655169,-0.003520283947579055,-0.0009078515062998038,0.0020396050259393074,0.0012822165412551367,-0.0014491424585855717,-0.0005222917262442845,0.0007727234009528149,0.0006354759673008335,-0.0004906322783061813,-3.2109192719097164e-05,-7.897840083767542e-05,0.00018389273309259716,0.0003270278134606418,0.0005204726913367045,-0.00027968620972974726
